00159+2103TDS1373      1185 00908 1 1991.64 238.3   0.820  0.14                  
00165+6308TDS1374      4018 01325 1 1991.65 263.8   0.490  0.20                  
00165+5722TDS1375      3661 01860 1 1991.68 123.2   0.760  0.35                  
00166-4347TDS1376      7530 00326 1 1991.70 115.2   2.910  1.53                  
00167+1334TDS1377      0601 00524 1 1991.52 284.8   1.520  0.65                  
00168+5915TDS1378      3665 00056 1 1991.65  77.9   0.930  0.10                  
00170-0207TDS1379      4664 00759 1 1991.74 250.8   0.670  0.24                  
00170-4506TDS1380      8023 00106 1 1991.71 158.2   0.850  0.20                  
00171+5807TDS1381      3661 00681 1 1991.58 299.3   0.780  0.15                  
00171-5039TDS1382      8029 00303 1 1991.51 119.4   2.050  1.05                  
00173+5346TDS1383      3653 01568 1 1991.68  46.4   0.560  0.25                  
00174+5602TDS1384      3657 00669 1 1991.65  40.4   0.560  0.11                  
00177+4934TDS   9      3255 00814 1 1991.55 107.7    .934   .43                  
00178+5013TDS1385      3255 00633 1 1991.55  86.7   0.830  0.01                  
00179+5752TDS1386      3661 01027 1 1991.66  60.5   0.680  0.75                  
00181+5255TDS  10      3653 01022 2 1991.54  74.1   1.282   .03                  
00181+0043TDS1387      0002 00967 1 1991.70 351.0   1.780  0.10                  
00181+0029TDS1388      0002 00841 1 1991.75  67.0   0.400  0.10                  
00182+5911TDS1389      3665 00346 1 1991.67  12.4   2.120  0.91                  
00183+3118TDS  11      2261 01524 1 1991.48  23.1    .972  2.18                  
00183-2414TDS1390      6413 00944 1 1991.81 128.5   0.680  0.46                  
00185+6735TDS1391      4294 00212 1 1991.67 167.0   2.020  0.65                  
00186+6351TDS1392      4023 00301 1 1991.57 349.8   0.480  0.10                  
00188+6932TDS1393      4298 01478 1 1991.66 185.8   0.650  0.08                  
00189+5948TDS1394      3665 00089 1 1991.64 206.1   0.410  0.08                  
00190-3758TDS1395      7524 00960 1 1991.78  62.1   0.540  0.18                  
00191+4625TDS1396      3247 01125 1 1991.61 281.0   0.440  0.12                  
00191+2822TDS1397      1736 01628 1 1991.51 108.1   0.690  0.46                  
00192+5509TDS1398      3657 01680 1 1991.68 121.8   0.820  0.07                  
00193+0038TDS1399      0002 00911 1 1991.71  77.2   1.070  0.02                  
00194+5609TDS1400      3657 00599 1 1991.65  32.4   2.280  1.13                  
00195-8505TDS1401      9494 01749 1 1991.64   5.0   0.730  0.09                  
00197+5258TDS1402      3653 01750 1 1991.55 225.3   2.040  0.59                  
00198-8013TDS1403      9354 00979 1 1991.58 293.1   0.560  0.40                  
00200-3637TDS1404      6996 00974 1 1991.85 153.4   0.690  0.00                  
00201+5751TDS1405      3661 00743 1 1991.56  93.3   0.890  0.30                  
00202+6841TDS1406      4294 00087 1 1991.62  11.4   2.120  1.16                  
